category,description,price,quantity,owner_id,name
PS5 Game,"Baldur's Gate 3 for PS5!  Create your hero, battle monsters, and forge your destiny in this epic Dungeons & Dragons adventure.  Box and game included ",45,6,37,Baldur's Gate 3
Xbox Series X Game,"Baldur's Gate 3!  Create your hero, battle monsters, and forge your destiny in this epic Dungeons & Dragons adventure.  Box and game included ",45,19,25,Baldur's Gate 3
PS5 Game,"Tekken 8 for PS5, used for a month. Disc and original box included",45,12,26,Tekken 8
Xbox Series X Game,"Tekken 8 for PS5, used for a month. Disc and original box included",45,8,21,Tekken 8
PS4 Game,"Original game for PS4, pretty old and used, but still playable",20,4,30,Tekken 7
Xbox One Game,"Original game for PS4, pretty old and used, but still playable",20,7,37,Tekken 7
PS4 Game,"The third installment in the Witcher franchise, critically acclaimed, used but loved. DLC included",15,10,34,The Witcher 3: Wild Hunt
Xbox One Game,"The third installment in the Witcher franchise, critically acclaimed, used but loved. DLC included",15,3,35,The Witcher 3: Wild Hunt
PS4 Game,"Used Red Dead 2 for the PS4, included map is gone but the game still ye my haw.",25,6,34,Red Dead Redemption 2
Xbox One Game,"Used Red Dead 2 for the Xbox One, included map is gone but the game still ye my haw.",25,12,25,Red Dead Redemption 2
PS4 Game,"Used copy of GTA V, included map is gone but I still Grand Theft my Auto.",15,11,29,Grand Theft Auto V
Xbox One Game,"Used copy of GTA V, included map is gone but I still Grand Theft my Auto.",15,17,21,Grand Theft Auto V
PS4 Game,"Skyrim, used, pretty old but the scrolls are still elder, and the sky very rim.",10,6,26,The Elder Scrolls V: Skyrim
Switch Game,"Skyrim, used, pretty old but the scrolls are still elder, and the sky very rim.",10,1,28,The Elder Scrolls V: Skyrim
PS5 Game,"Skyrim, used, pretty old but the scrolls are still elder, and the sky very rim.",10,8,32,The Elder Scrolls V: Skyrim
Xbox One Game,"Skyrim, used, pretty old but the scrolls are still elder, and the sky very rim.",10,10,37,The Elder Scrolls V: Skyrim
Xbox Series X Game,"Skyrim, used, pretty old but the scrolls are still elder, and the sky very rim.",10,13,21,The Elder Scrolls V: Skyrim
PS4 Game,"Banged up copy of Horizon Zero Dawn, disc box is not included, it is always night time (zero dawn)",15,10,28,Horizon Zero Dawn
PS5 Game,"New copy of Horizon Forbidden West, I must go East",35,10,37,Horizon Forbidden West
PS4 Game,"New copy of Horizon Forbidden West, I must go East",35,10,33,Horizon Forbidden West
PS4 Game,"Kratos goes to Greece! This time he has a boy! Used copy, but still good.",20,20,22,God of War (2018)
PS5 Game,"Used copy of Cyberpunk 2077, has some scratches but the cyber is still punk.",30,9,25,Cyberpunk 2077
PS4 Game,"Used copy of Cyberpunk 2077, has some scratches but the cyber is still punk.",30,2,34,Cyberpunk 2077
Xbox Series X Game,"Used copy of Cyberpunk 2077, has some scratches but the cyber is still punk.",30,1,22,Cyberpunk 2077
Xbox One Game,"Used copy of Cyberpunk 2077, has some scratches but the cyber is still punk.",30,12,21,Cyberpunk 2077
PS4 Game,"Used copy of Dark Souls 3, too hard I cant finish it, the three souls are too dark.",20,10,37,Dark Souls III
Xbox One Game,"Used copy of Dark Souls 3, too hard I cant finish it, the three souls are too dark.",20,7,35,Dark Souls III
PS4 Game,"Dark Souls II, new unopened copy, bought the wrong one, the souls are indeed too (2) dark",20,12,29,Dark Souls II 
Xbox One Game,"Dark Souls II, new unopened copy, bought the wrong one, the souls are indeed too (2) dark",20,12,36,Dark Souls II 
PS4 Game,"Dark Souls Remastered, unopened copy for the PS5, again bought the wrong one (I am stupid)",15,6,25,Dark Souls Remastered
Xbox One Game,"Dark Souls Remastered, unopened copy for the PS5, again bought the wrong one (I am stupid)",15,6,22,Dark Souls Remastered
PS4 Game,"PS4 Copy of Sekiro, I died twice and it won't let me finish the game",20,17,27,Sekiro: Shadows Die Twice
Xbox One Game,"PS4 Copy of Sekiro, I died twice and it won't let me finish the game",20,2,24,Sekiro: Shadows Die Twice
PS4 Game,"Rare Unopened Copy of Bloodborne, accidentally spilled in Blood(borne)",20,7,33,Bloodborne
PS5 Game,"Elden Ring for the PS5, copy opened, and the ring is in fact elden!",40,9,21,Elden Ring
PS4 Game,"Elden Ring for the PS5, copy opened, and the ring is in fact elden!",40,8,22,Elden Ring
Xbox One Game,"Elden Ring for the PS5, copy opened, and the ring is in fact elden!",40,15,32,Elden Ring
Xbox Series X Game,"Elden Ring for the PS5, copy opened, and the ring is in fact elden!",40,12,30,Elden Ring
PS4 Game,"When Duty Calls, I am Modern Warfare 2019. Used for PS4",25,6,26,Call of Duty: Modern Warfare (2019)
Xbox One Game,"When Duty Calls, I am Modern Warfare 2019. Used for PS4",25,18,23,Call of Duty: Modern Warfare (2019)
PS4 Game,Remade with more evil residents! Too! scary! selling because I have nightmares,20,14,31,Resident Evil 2 Remake
Xbox One Game,Remade with more evil residents! Too! scary! selling because I have nightmares,20,14,23,Resident Evil 2 Remake
PS4 Game,Remade with an extra resident! They're evil too!!! Now there's three! Like Resident Evil 3! REMADE!!! Too scary. Please buy,20,3,33,Resident Evil 3 Remake
Xbox One Game,Remade with an extra resident! They're evil too!!! Now there's three! Like Resident Evil 3! REMADE!!! Too scary. Please buy,20,1,37,Resident Evil 3 Remake
PS5 Game,"Resident Evil 4, pretty good game, but there's four evil residents now? Selling because too much evil residents.",40,3,32,Resident Evil 4 Remake
PS4 Game,"Resident Evil 4, pretty good game, but there's four evil residents now? Selling because too much evil residents.",40,19,29,Resident Evil 4 Remake
Xbox Series X Game,"Resident Evil 4, pretty good game, but there's four evil residents now? Selling because too much evil residents.",40,18,36,Resident Evil 4 Remake
PS4 Game,"Used copy of RE7, too toxic for my house (biohazard), selling to cautious customers. ",10,18,24,Resident Evil 7: Biohazard
Xbox One Game,"Used copy of RE7, too toxic for my house (biohazard), selling to cautious customers. ",10,18,29,Resident Evil 7: Biohazard
PS5 Game,"New sealed copy of RE Village, there's a village of evil residents now, buyers beware. (also pretty good game)",45,20,29,Resident Evil Village
PS4 Game,"New sealed copy of RE Village, there's a village of evil residents now, buyers beware. (also pretty good game)",45,14,32,Resident Evil Village
Xbox Series X Game,"New sealed copy of RE Village, there's a village of evil residents now, buyers beware. (also pretty good game)",45,17,28,Resident Evil Village
Xbox One Game,"New sealed copy of RE Village, there's a village of evil residents now, buyers beware. (also pretty good game)",45,5,37,Resident Evil Village
PS4 Game,"Used copy, box is signed by Hideo Kojima. ",30,14,25,Death Stranding
PS4 Game,"The pain still lingers, but it is phantom. Used copy for the PS4, really good game.",20,11,35,Metal Gear Solid V: The Phantom Pain
Xbox One Game,"The pain still lingers, but it is phantom. Used copy for the PS4, really good game.",20,10,23,Metal Gear Solid V: The Phantom Pain
PS5 Game,"New copy, Metal Gear Solid 1-3 included for the PS5 with extra bundled content.",35,12,37,Metal Gear Solid: Master Collection Vol. 1
PS4 Game,"New copy, Metal Gear Solid 1-3 included for the PS5 with extra bundled content.",35,4,21,Metal Gear Solid: Master Collection Vol. 1
Switch Game,"New copy, Metal Gear Solid 1-3 included for the PS5 with extra bundled content.",35,14,21,Metal Gear Solid: Master Collection Vol. 1
PS4 Game,"Control for the PS4, control(ler) not included. Used.",20,16,35,Control
PS5 Game,"Control for the PS4, control(ler) not included. Used.",20,6,23,Control
Xbox One Game,"Control for the PS4, control(ler) not included. Used.",20,20,22,Control
Xbox Series X Game,"Control for the PS4, control(ler) not included. Used.",20,13,30,Control
PS4 Game,"MHW for PS4, used, doesn't include Iceborne. ",10,2,32,Monster Hunter: World
Xbox One Game,"MHW for PS4, used, doesn't include Iceborne. ",10,9,25,Monster Hunter: World
Switch Game,"MHR for Switch, used cartridge, doesn't include Sunbreak.",20,12,21,Monster Hunter: Rise
PS4 Game,"Used copy of DOOM Eternal, box is pretty DOOMed, but the disc is Eternal.",25,7,23,DOOM Eternal
Switch Game,"Used copy of DOOM Eternal, box is pretty DOOMed, but the disc is Eternal.",25,15,21,DOOM Eternal
Xbox One Game,"Used copy of DOOM Eternal, box is pretty DOOMed, but the disc is Eternal.",25,3,34,DOOM Eternal
PS4 Game,"New copy of Doom (2016), everything is included, signed by John Romero",40,3,34,DOOM (2016)
Switch Game,"New copy of Doom (2016), everything is included, signed by John Romero",40,12,31,DOOM (2016)
Xbox One Game,"New copy of Doom (2016), everything is included, signed by John Romero",40,10,24,DOOM (2016)
PS4 Game,"Swing into action with Marvel's Spider-Man! Play as the iconic web-slinger, Peter Parker, as he fights crime across New York City. Used but still slinging strong.",20,16,33,Marvel's Spider-Man
PS5 Game,"The highly anticipated sequel to Marvel's Spider-Man is here! Get ready to don the Spidey suit once again and face new villains in this epic adventure. Brand new copy, still wrapped in webbing.",60,11,22,Marvel's Spider-Man 2
PS5 Game,"Step into the shoes of Miles Morales, the new Spider-Man, and protect Harlem from evil forces. Like-new condition, swung into action only a few times.",40,10,37,Marvel's Spider-Man Miles Morales
PS4 Game,"Step into the shoes of Miles Morales, the new Spider-Man, and protect Harlem from evil forces. Like-new condition, swung into action only a few times.",40,7,27,Marvel's Spider-Man Miles Morales
PS4 Game,"Explore the post-apocalyptic wasteland of Boston in Fallout 4. Build settlements, make allies, and survive the dangers of the nuclear aftermath. Used copy, but the wasteland is still ripe for exploration.",20,17,27,Fallout 4
Xbox One Game,"Explore the post-apocalyptic wasteland of Boston in Fallout 4. Build settlements, make allies, and survive the dangers of the nuclear aftermath. Used copy, but the wasteland is still ripe for exploration.",20,4,34,Fallout 4
PS4 Game,"Enter the online world of Fallout 76 and rebuild America with fellow survivors. Join factions, battle mutants, and uncover the secrets of West Virginia. Slightly used, but the wasteland is vast and waiting.",30,19,35,Fallout 76
Xbox One Game,"Enter the online world of Fallout 76 and rebuild America with fellow survivors. Join factions, battle mutants, and uncover the secrets of West Virginia. Slightly used, but the wasteland is vast and waiting.",30,9,32,Fallout 76
PS4 Game,"Fight against a fanatical cult in the heart of Montana in Far Cry 5. Explore the open world, recruit allies, and liberate Hope County from tyranny. Lightly used, but the fight for freedom is far from over.",20,2,23,Far Cry 5
Xbox One Game,"Fight against a fanatical cult in the heart of Montana in Far Cry 5. Explore the open world, recruit allies, and liberate Hope County from tyranny. Lightly used, but the fight for freedom is far from over.",20,3,30,Far Cry 5
PS4 Game,"Embark on a samurai adventure in Ghost of Tsushima. Set in feudal Japan, wield your katana, and become the legendary Ghost to save your homeland. Gently used, but honor and duty still guide the way.",30,19,25,Ghost of Tsushima
PS5 Game,"Embark on a samurai adventure in Ghost of Tsushima. Set in feudal Japan, wield your katana, and become the legendary Ghost to save your homeland. Gently used, but honor and duty still guide the way.",30,14,21,Ghost of Tsushima Director's Cut
Switch Game,"Discover the vast kingdom of Hyrule in The Legend of Zelda: Breath of the Wild. Solve puzzles, battle enemies, and uncover the secrets of this captivating world. Pre-loved, but the legend continues.",60,7,32,The Legend of Zelda: Breath of the Wild
Switch Game,"Join Link on a new quest to save Hyrule in The Legend of Zelda: Tears of the Kingdom. Face ancient evils, solve mysteries, and restore peace to the land. Factory sealed, tears not included.",60,18,34,The Legend of Zelda: Tears of the Kingdom
PS4 Game,"Embark on a journey of brotherhood and redemption in Final Fantasy XV. Explore a stunning open world, battle epic monsters, and save the kingdom of Lucis. Used, but the bonds forged are everlasting.",20,8,29,Final Fantasy XV
PS5 Game,"Embark on a journey of brotherhood and redemption in Final Fantasy XV. Explore a stunning open world, battle epic monsters, and save the kingdom of Lucis. Used, but the bonds forged are everlasting.",20,7,37,Final Fantasy XV
PS4 Game,"Relive the classic tale of Cloud Strife and his allies in the highly acclaimed Final Fantasy VII Remake. Explore the city of Midgar, engage in thrilling combat, and experience a reimagined masterpiece. Like-new condition, a nostalgic journey awaits.",20,14,36,Final Fantasy VII Remake
